"datetime","type","index","datatype","ir","bp","hy","vac","pf","ps","value","x","y","z","var_x","var_y","var_z","mean_x","mean_y","mean_z"
"2023-04-06T05:49:15.715Z","VAC",1,1,"",,,"7.355502","",,,"","","",,,,,,
"2023-04-06T05:49:15.243Z","VAC",1,1,"",,,"7.398335","",,,"","","",,,,,,
"2023-04-06T05:49:14.703Z","VAC",1,1,"",,,"7.230251","",,,"","","",,,,,,
"2023-04-06T05:49:14.230Z","VAC",1,1,"",,,"7.246085","",,,"","","",,,,,,
"2023-04-06T05:49:13.690Z","VAC",1,1,"",,,"7.284046","",,,"","","",,,,,,
"2023-04-06T05:49:13.218Z","VAC",1,1,"",,,"7.334796","",,,"","","",,,,,,
"2023-04-06T05:49:12.745Z","VAC",1,1,"",,,"7.252378","",,,"","","",,,,,,
"2023-04-06T05:49:12.205Z","VAC",1,1,"",,,"7.228627","",,,"","","",,,,,,
"2023-04-06T05:49:11.733Z","VAC",1,1,"",,,"7.236544","",,,"","","",,,,,,
"2023-04-06T05:49:11.193Z","VAC",1,1,"",,,"7.365043","",,,"","","",,,,,,
"2023-04-06T05:49:10.720Z","VAC",1,1,"",,,"7.314293","",,,"","","",,,,,,
"2023-04-06T05:49:10.248Z","VAC",1,1,"",,,"7.263543","",,,"","","",,,,,,
"2023-04-06T05:49:09.708Z","VAC",1,1,"",,,"7.406252","",,,"","","",,,,,,
"2023-04-06T05:49:09.235Z","VAC",1,1,"",,,"7.406252","",,,"","","",,,,,,
"2023-04-06T05:49:08.695Z","VAC",1,1,"",,,"7.382501","",,,"","","",,,,,,
"2023-04-06T05:49:08.223Z","VAC",1,1,"",,,"7.336420","",,,"","","",,,,,,
"2023-04-06T05:49:07.750Z","VAC",1,1,"",,,"7.360171","",,,"","","",,,,,,
"2023-04-06T05:49:07.210Z","VAC",1,1,"",,,"7.398335","",,,"","","",,,,,,
"2023-04-06T05:49:06.738Z","VAC",1,1,"",,,"7.407876","",,,"","","",,,,,,
"2023-04-06T05:49:06.198Z","VAC",1,1,"",,,"7.249130","",,,"","","",,,,,,
"2023-04-06T05:49:05.725Z","VAC",1,1,"",,,"7.287294","",,,"","","",,,,,,
"2023-04-06T05:49:05.185Z","VAC",1,1,"",,,"7.341292","",,,"","","",,,,,,
"2023-04-06T05:49:04.713Z","VAC",1,1,"",,,"7.385546","",,,"","","",,,,,,
"2023-04-06T05:49:04.240Z","VAC",1,1,"",,,"7.227003","",,,"","","",,,,,,
"2023-04-06T05:49:03.700Z","VAC",1,1,"",,,"7.236544","",,,"","","",,,,,,
"2023-04-06T05:49:03.228Z","VAC",1,1,"",,,"7.266588","",,,"","","",,,,,,
"2023-04-06T05:49:02.688Z","VAC",1,1,"",,,"7.314293","",,,"","","",,,,,,
"2023-04-06T05:49:02.215Z","VAC",1,1,"",,,"7.258671","",,,"","","",,,,,,
"2023-04-06T05:49:01.743Z","VAC",1,1,"",,,"7.230251","",,,"","","",,,,,,
"2023-04-06T05:49:01.203Z","VAC",1,1,"",,,"7.227003","",,,"","","",,,,,,
"2023-04-06T05:49:00.730Z","VAC",1,1,"",,,"7.379253","",,,"","","",,,,,,
"2023-04-06T05:49:00.190Z","VAC",1,1,"",,,"7.334796","",,,"","","",,,,,,
"2023-04-06T05:48:59.718Z","VAC",1,1,"",,,"7.279377","",,,"","","",,,,,,
"2023-04-06T05:48:59.178Z","VAC",1,1,"",,,"7.395087","",,,"","","",,,,,,
"2023-04-06T05:48:58.705Z","VAC",1,1,"",,,"7.406252","",,,"","","",,,,,,
"2023-04-06T05:48:58.233Z","VAC",1,1,"",,,"7.392042","",,,"","","",,,,,,
"2023-04-06T05:48:57.693Z","VAC",1,1,"",,,"7.281001","",,,"","","",,,,,,
"2023-04-06T05:48:57.220Z","VAC",1,1,"",,,"7.330127","",,,"","","",,,,,,
"2023-04-06T05:48:56.680Z","VAC",1,1,"",,,"7.379253","",,,"","","",,,,,,
"2023-04-06T05:48:56.208Z","VAC",1,1,"",,,"7.401380","",,,"","","",,,,,,
"2023-04-06T05:48:55.735Z","VAC",1,1,"",,,"7.230251","",,,"","","",,,,,,
"2023-04-06T05:48:55.195Z","VAC",1,1,"",,,"7.258671","",,,"","","",,,,,,
"2023-04-06T05:48:54.723Z","VAC",1,1,"",,,"7.303128","",,,"","","",,,,,,
"2023-04-06T05:48:54.183Z","VAC",1,1,"",,,"7.265167","",,,"","","",,,,,,
"2023-04-06T05:48:53.710Z","VAC",1,1,"",,,"7.230251","",,,"","","",,,,,,
"2023-04-06T05:48:53.170Z","VAC",1,1,"",,,"7.222334","",,,"","","",,,,,,
"2023-04-06T05:48:52.698Z","VAC",1,1,"",,,"7.239792","",,,"","","",,,,,,
"2023-04-06T05:48:52.225Z","VAC",1,1,"",,,"7.342713","",,,"","","",,,,,,
"2023-04-06T05:48:51.685Z","VAC",1,1,"",,,"7.288918","",,,"","","",,,,,,
"2023-04-06T05:48:51.213Z","VAC",1,1,"",,,"7.244461","",,,"","","",,,,,,
"2023-04-06T05:48:50.673Z","VAC",1,1,"",,,"7.403004","",,,"","","",,,,,,
"2023-04-06T05:48:50.200Z","VAC",1,1,"",,,"7.395087","",,,"","","",,,,,,
"2023-04-06T05:48:49.728Z","VAC",1,1,"",,,"7.365043","",,,"","","",,,,,,
"2023-04-06T05:48:49.188Z","VAC",1,1,"",,,"7.309421","",,,"","","",,,,,,
"2023-04-06T05:48:48.715Z","VAC",1,1,"",,,"7.358750","",,,"","","",,,,,,
"2023-04-06T05:48:48.175Z","VAC",1,1,"",,,"7.393463","",,,"","","",,,,,,
"2023-04-06T05:48:47.703Z","VAC",1,1,"",,,"7.401380","",,,"","","",,,,,,
"2023-04-06T05:48:47.230Z","VAC",1,1,"",,,"7.241213","",,,"","","",,,,,,
"2023-04-06T05:48:46.690Z","VAC",1,1,"",,,"7.277753","",,,"","","",,,,,,
"2023-04-06T05:48:46.218Z","VAC",1,1,"",,,"7.328503","",,,"","","",,,,,,
"2023-04-06T05:48:45.678Z","VAC",1,1,"",,,"7.241213","",,,"","","",,,,,,
"2023-04-06T05:48:45.205Z","VAC",1,1,"",,,"7.219086","",,,"","","",,,,,,
"2023-04-06T05:48:44.665Z","VAC",1,1,"",,,"7.223755","",,,"","","",,,,,,
"2023-04-06T05:48:44.193Z","VAC",1,1,"",,,"7.249130","",,,"","","",,,,,,
"2023-04-06T05:48:43.720Z","VAC",1,1,"",,,"7.318962","",,,"","","",,,,,,
"2023-04-06T05:48:43.180Z","VAC",1,1,"",,,"7.268212","",,,"","","",,,,,,
"2023-04-06T05:48:42.708Z","VAC",1,1,"",,,"7.230251","",,,"","","",,,,,,
"2023-04-06T05:48:42.168Z","VAC",1,1,"",,,"7.399959","",,,"","","",,,,,,
"2023-04-06T05:48:41.695Z","VAC",1,1,"",,,"7.387170","",,,"","","",,,,,,
"2023-04-06T05:48:41.223Z","VAC",1,1,"",,,"7.352254","",,,"","","",,,,,,
"2023-04-06T05:48:40.683Z","VAC",1,1,"",,,"7.304752","",,,"","","",,,,,,
"2023-04-06T05:48:40.210Z","VAC",1,1,"",,,"7.360171","",,,"","","",,,,,,
"2023-04-06T05:48:39.670Z","VAC",1,1,"",,,"7.392042","",,,"","","",,,,,,
"2023-04-06T05:48:39.198Z","VAC",1,1,"",,,"7.396711","",,,"","","",,,,,,
"2023-04-06T05:48:38.658Z","VAC",1,1,"",,,"7.238168","",,,"","","",,,,,,
"2023-04-06T05:48:38.185Z","VAC",1,1,"",,,"7.277753","",,,"","","",,,,,,
"2023-04-06T05:48:37.713Z","VAC",1,1,"",,,"7.328503","",,,"","","",,,,,,
"2023-04-06T05:48:37.173Z","VAC",1,1,"",,,"7.236544","",,,"","","",,,,,,
"2023-04-06T05:48:36.700Z","VAC",1,1,"",,,"7.215838","",,,"","","",,,,,,
"2023-04-06T05:48:36.160Z","VAC",1,1,"",,,"7.219086","",,,"","","",,,,,,
"2023-04-06T05:48:35.688Z","VAC",1,1,"",,,"7.246085","",,,"","","",,,,,,
"2023-04-06T05:48:35.215Z","VAC",1,1,"",,,"7.317338","",,,"","","",,,,,,
"2023-04-06T05:48:34.675Z","VAC",1,1,"",,,"7.266588","",,,"","","",,,,,,
"2023-04-06T05:48:34.203Z","VAC",1,1,"",,,"7.225379","",,,"","","",,,,,,
"2023-04-06T05:48:33.663Z","VAC",1,1,"",,,"7.395087","",,,"","","",,,,,,
"2023-04-06T05:48:33.190Z","VAC",1,1,"",,,"7.380877","",,,"","","",,,,,,
"2023-04-06T05:48:32.718Z","VAC",1,1,"",,,"7.349209","",,,"","","",,,,,,
"2023-04-06T05:48:32.178Z","VAC",1,1,"",,,"7.303128","",,,"","","",,,,,,
"2023-04-06T05:48:31.705Z","VAC",1,1,"",,,"7.353878","",,,"","","",,,,,,
"2023-04-06T05:48:31.165Z","VAC",1,1,"",,,"7.385546","",,,"","","",,,,,,
"2023-04-06T05:48:30.693Z","VAC",1,1,"",,,"7.393463","",,,"","","",,,,,,
"2023-04-06T05:48:30.153Z","VAC",1,1,"",,,"7.230251","",,,"","","",,,,,,
"2023-04-06T05:48:29.680Z","VAC",1,1,"",,,"7.268212","",,,"","","",,,,,,
"2023-04-06T05:48:29.208Z","VAC",1,1,"",,,"7.311045","",,,"","","",,,,,,
"2023-04-06T05:48:28.668Z","VAC",1,1,"",,,"7.238168","",,,"","","",,,,,,
"2023-04-06T05:48:28.195Z","VAC",1,1,"",,,"7.212793","",,,"","","",,,,,,
"2023-04-06T05:48:27.655Z","VAC",1,1,"",,,"7.211169","",,,"","","",,,,,,
"2023-04-06T05:48:27.183Z","VAC",1,1,"",,,"7.231875","",,,"","","",,,,,,
"2023-04-06T05:48:26.710Z","VAC",1,1,"",,,"7.323834","",,,"","","",,,,,,
"2023-04-06T05:48:26.170Z","VAC",1,1,"",,,"7.274505","",,,"","","",,,,,,
"2023-04-06T05:48:25.698Z","VAC",1,1,"",,,"7.231875","",,,"","","",,,,,,
"2023-04-06T05:48:25.158Z","VAC",1,1,"",,,"7.387170","",,,"","","",,,,,,
"2023-04-06T05:48:24.685Z","VAC",1,1,"",,,"7.384125","",,,"","","",,,,,,
"2023-04-06T05:48:24.145Z","VAC",1,1,"",,,"7.361795","",,,"","","",,,,,,
"2023-04-06T05:48:23.673Z","VAC",1,1,"",,,"7.320586","",,,"","","",,,,,,
"2023-04-06T05:48:23.200Z","VAC",1,1,"",,,"7.323834","",,,"","","",,,,,,
"2023-04-06T05:48:22.660Z","VAC",1,1,"",,,"7.363419","",,,"","","",,,,,,
"2023-04-06T05:48:22.188Z","VAC",1,1,"",,,"7.382501","",,,"","","",,,,,,
"2023-04-06T05:48:21.648Z","VAC",1,1,"",,,"7.207921","",,,"","","",,,,,,
"2023-04-06T05:48:21.175Z","VAC",1,1,"",,,"7.233296","",,,"","","",,,,,,
"2023-04-06T05:48:20.703Z","VAC",1,1,"",,,"7.269836","",,,"","","",,,,,,
"2023-04-06T05:48:20.163Z","VAC",1,1,"",,,"7.263543","",,,"","","",,,,,,
"2023-04-06T05:48:19.690Z","VAC",1,1,"",,,"7.222334","",,,"","","",,,,,,
"2023-04-06T05:48:19.150Z","VAC",1,1,"",,,"7.203252","",,,"","","",,,,,,
"2023-04-06T05:48:18.678Z","VAC",1,1,"",,,"7.204876","",,,"","","",,,,,,
"2023-04-06T05:48:18.205Z","VAC",1,1,"",,,"7.355502","",,,"","","",,,,,,
"2023-04-06T05:48:17.665Z","VAC",1,1,"",,,"7.315917","",,,"","","",,,,,,
"2023-04-06T05:48:17.193Z","VAC",1,1,"",,,"7.269836","",,,"","","",,,,,,
"2023-04-06T05:48:16.653Z","VAC",1,1,"",,,"7.355502","",,,"","","",,,,,,
"2023-04-06T05:48:16.180Z","VAC",1,1,"",,,"7.376005","",,,"","","",,,,,,
